t_unix,ts_us,scan_count,watchdog_tripped,devices_healthy
1788835185,834527389,417254,0,1
1788835186,835535092,417758,0,1
1788835187,836543612,418262,0,1
1788835188,837553341,418767,0,1
1788835189,838563477,419272,0,1
1788835190,839575704,419778,0,1
1788835191,840589207,420285,0,1
1788835192,841599667,420790,0,1
1788835193,842611446,421296,0,1
1788835194,843621550,421801,0,1
1788835195,844633413,422307,0,1
1788835196,845641800,422811,0,1
1788835197,846653776,423317,0,1
1788835198,847665861,423823,0,1
1788835199,848675319,424328,0,1
1788835200,849788010,424884,0,1
1788835201,850699218,425340,0,1
1788835202,851809830,425895,0,1
1788835203,852819461,426400,0,1
1788835204,853827791,426904,0,1
1788835205,854837424,427409,0,1
1788835206,855845934,427913,0,1
1788835207,856854085,428417,0,1
1788835208,857865522,428923,0,1
1788835209,858877688,429429,0,1
1788835210,859891969,429936,0,1
1788835211,860903847,430442,0,1
1788835212,861913582,430947,0,1
1788835213,862925688,431453,0,1
1788835214,863935850,431958,0,1
1788835215,864943607,432462,0,1
1788835216,865951733,432966,0,1
1788835217,866963740,433472,0,1
1788835218,867970990,433976,0,1
1788835219,868977122,434479,0,1
1788835220,869987351,434984,0,1
1788835221,870995890,435488,0,1
1788835222,872005873,435993,0,1
1788835223,873017657,436499,0,1
1788835224,874031316,437006,0,1
1788835225,875039975,437510,0,1
1788835226,876049920,438015,0,1
1788835227,877061800,438521,0,1
1788835228,878075548,439028,0,1
1788835229,879083540,439532,0,1
1788835230,880091974,440036,0,1
1788835231,881097650,440539,0,1
1788835232,882111909,441046,0,1
1788835233,883121385,441551,0,1
1788835234,884133088,442057,0,1
1788835235,885143360,442562,0,1
1788835236,886153062,443067,0,1
1788835237,887159504,443570,0,1
1788835239,888171403,444076,0,1
1788835240,889179933,444580,0,1
1788835241,890187962,445084,0,1
1788835242,891199544,445590,0,1
1788835243,892208089,446094,0,1
1788835244,893221087,446601,0,1
1788835245,894231257,447106,0,1
1788835246,895237407,447609,0,1
1788835247,896243798,448112,0,1
1788835248,897254018,448617,0,1
1788835249,898263581,449122,0,1
1788835250,899275259,449628,0,1
1788835251,900285384,450133,0,1
1788835252,901297185,450639,0,1
1788835253,902305629,451143,0,1
1788835254,903313353,451647,0,1
1788835255,904323103,452152,0,1
1788835256,905329682,452655,0,1
1788835257,906337933,453159,0,1
1788835258,907347754,453664,0,1
1788835259,908359055,454170,0,1
1788835260,909367593,454674,0,1
1788835261,910383215,455182,0,1
1788835262,911391595,455686,0,1
1788835263,912399800,456190,0,1
1788835264,913507563,456744,0,1
1788835265,914517683,457249,0,1
1788835266,915529827,457755,0,1
1788835267,916539646,458260,0,1
1788835268,917551254,458766,0,1
1788835269,918561773,459271,0,1
1788835270,919571757,459776,0,1
1788835271,920583145,460282,0,1
1788835272,921593314,460787,0,1
1788835273,922601185,461291,0,1
1788835274,923611193,461796,0,1
1788835275,924621298,462301,0,1
1788835276,925635617,462808,0,1
1788835277,926643825,463312,0,1
1788835278,927653529,463817,0,1
1788835279,928665466,464323,0,1
1788835280,929677569,464829,0,1
1788835281,930689962,465335,0,1
1788835282,931697730,465839,0,1
1788835283,932705823,466343,0,1
1788835284,933719643,466850,0,1
1788835285,934727570,467354,0,1
1788835286,935743255,467862,0,1
